Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,,Lat,Long,Country,Tests,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,,Country,survivial-case-discharge rate,error,,Country,x,x1,Country,n,n1,
15.2,-86.2419,Honduras,141114,0.102694945,0.103149364,0.104586365,0.109130561,0.123500567,0.168942519,0.104981281,0.102734437,0.102509748,0.102487156,0.102484787,,,-40.9006,174.886,New Zealand,750808,0.110571107,0.103293421,0.102565641,0.102492994,0.102484787,,53.1424,-7.6921,Ireland,824712,0.102721028,0.103231846,0.104847193,0.109955372,0.126108849,0.177190633,,Latvia,0.863400148,0.031281281,,Bahrain,0.999985903,1.40969E-05,Croatia,22237348555,134189.5083,
39.3999,-8.2245,Portugal,1976482,0.102670147,0.103070947,0.104338389,0.10834639,0.121020805,0.161100822,0.110725463,0.103308845,0.102567222,0.102492525,0.102484787,,,46.8182,8.2275,Switzerland,1000884,0.110474571,0.103283765,0.102564686,0.102492994,0.102484787,,56.8796,24.6032,Latvia,248932,0.102718257,0.103223085,0.104819492,0.109867771,0.125831831,0.176314625,,Guatemala,0.862045637,0.004327518,,Ethiopia,0.999985277,1.47228E-05,Panama,22084703178,67620.65536,
9.082,8.6753,Nigeria,398304,0.102679532,0.103100625,0.104432237,0.108643166,0.121959293,0.164068582,0.106371422,0.102873449,0.102523669,0.102488656,0.102484787,,,22.3,114.2,Hong Kong,780415,0.110388647,0.103275172,0.102563815,0.102492763,0.102484787,,-22.3285,24.6849,Botswana,109547,0.102717488,0.103220651,0.104811795,0.109843431,0.125754863,0.176071231,,Cuba,0.854346124,0.019050553,,Ghana,0.999983682,1.63185E-05,Argentina,21967753957,17971.60569,
26.0275,50.55,Bahrain,1095373,0.102830151,0.103576925,0.105938431,0.113406167,0.137021223,0.211698587,0.113915111,0.103627819,0.102599099,0.102496231,0.102484787,,,33,44,Iraq,1567133,0.109985676,0.103234887,0.102559807,0.102492525,0.102484787,,15.7835,-90.2308,Guatemala,240745,0.102717291,0.103220029,0.104809826,0.109837206,0.125735177,0.176008971,,Gabon,0.850331283,0.012970648,,Venezuela,0.999983562,1.64381E-05,Peru,21956919742,6955.702415,
9.145,40.4897,Ethiopia,869430,0.102650803,0.103009775,0.104144943,0.107734662,0.119086355,0.154983538,0.107379941,0.102974301,0.102533725,0.102488656,0.102484787,,,60.472,8.4689,Norway,686202,0.109596291,0.103195937,0.102555915,0.102492025,0.102484787,,22,-80,Cuba,388194,0.10271208,0.103203549,0.104757712,0.109672408,0.125214039,0.174360992,,Japan,0.849205131,0.004685612,,Kyrgyzstan,0.999983247,1.67532E-05,Czechia,21444637831,24064.27478,
7.9465,-1.0232,Ghana,439246,0.102963435,0.103998406,0.107271271,0.11762098,0.150349631,0.253846713,0.112516395,0.103487948,0.102585103,0.102494839,0.102485754,,,23.6345,-102.5528,Mexico,1334331,0.109498785,0.103186183,0.102554962,0.102492525,0.102484787,,-0.8037,11.6094,Gabon,116252,0.102709539,0.103195515,0.104732307,0.109592068,0.124959982,0.173557602,,Slovenia,0.839689004,0.023595586,,Uzbekistan,0.999982503,1.74974E-05,Hungary,21301187976,50973.19384,
6.4238,-66.5897,Venezuela,1734382,0.102686655,0.10312315,0.104503467,0.108868414,0.122671587,0.166321065,0.110891765,0.103325479,0.10256884,0.102494264,0.102484787,,,29.5,47.75,Kuwait,611639,0.109344385,0.103170747,0.102553371,0.102491762,0.102484787,,36,138,Japan,1440826,0.102708847,0.103193326,0.104725383,0.109570173,0.124890744,0.173338643,,Australia,0.832275829,0.007889127,,Switzerland,0.999982062,1.7938E-05,Portugal,20905575689,10577.16472,
41.2044,74.7661,Kyrgyzstan,267718,0.102741283,0.103295897,0.105049743,0.110595889,0.128134344,0.183595811,0.106681591,0.102904467,0.102526747,0.102488891,0.102484787,,,45.9432,24.9668,Romania,1780963,0.109280583,0.103164386,0.102552685,0.102492525,0.102484787,,46.1512,14.9955,Slovenia,157467,0.102703323,0.103175857,0.104670143,0.10939549,0.124338346,0.171591812,,Russia,0.830698704,0.001273874,,Costa Rica,0.999981871,1.81293E-05,Belgium,20830787449,9323.716996,
46.8182,8.2275,Switzerland,1000884,0.102737335,0.103283412,0.105010263,0.110471042,0.127739541,0.182347333,0.110474571,0.103283765,0.102564686,0.102492994,0.102484787,,,53.1424,-7.6921,Ireland,824712,0.109269098,0.103163218,0.10255263,0.102491488,0.102484787,,-33.8688,151.2093,Australia,6164296,0.102699388,0.103163415,0.104630797,0.109271064,0.123944881,0.170347563,,Israel,0.818273083,0.003841947,,Afghanistan,0.999980664,1.93356E-05,Morocco,20580374545,10883.53588,
41.3775,64.5853,Uzbekistan,1377915,0.102818325,0.103539525,0.105820162,0.113032169,0.135838538,0.207958611,0.114865792,0.103722886,0.102608591,0.102497021,0.102484787,,,-38.4161,-63.6167,Argentina,1222359,0.108806781,0.103116988,0.102548005,0.102491488,0.102484787,,14.6415,-61.0242,Martinique,12227,0.102698758,0.103161422,0.104624495,0.109251138,0.123881867,0.170148297,,Brazil,0.806880082,0.000683524,,Moldova,0.999979964,2.00359E-05,Colombia,20466475864,7621.515913,
