Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,,Lat,Long,Country,Tests,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,,Country,mortality rates ,error,,Country,x,x1,Country,n,n1,
29.5,47.75,Kuwait,611639,0.103459323,0.105566541,0.112230148,0.133302324,0.199938396,0.410660156,0.126586367,0.104894945,0.102725803,0.10250889,0.102487156,,,39.3999,-8.2245,Portugal,1976482,0.122326439,0.104468952,0.102683196,0.102504609,0.102486721,,60,90,Russia,36000000,0.103082973,0.104376417,0.108466647,0.12140109,0.16230339,0.29164782,,Honduras,0.035359009,0.002716193,,Poland,0.999987416,1.25838E-05,Honduras,3810961955,27006.26412,
50.8333,4,Belgium,2234172,0.102726976,0.103250655,0.104906675,0.11014347,0.126703671,0.17907162,0.113932334,0.103629539,0.102599295,0.10249573,0.102484787,,,48.3794,31.1656,Ukraine,1516712,0.122187246,0.104455033,0.102681814,0.102504514,0.102486721,,-0.0236,37.9062,Kenya,445722,0.103077131,0.104357942,0.108408224,0.121216339,0.161719155,0.289800304,,Bahamas,0.03511236,0.01638956,,Japan,0.999987368,1.26319E-05,Bahamas,3785345919,342968.7342,
15.7835,-90.2308,Guatemala,240745,0.102881241,0.103738486,0.106449331,0.115021777,0.142130231,0.227854689,0.108636158,0.103099924,0.102546302,0.102490904,0.102485754,,,-40.9006,174.886,New Zealand,750808,0.121633654,0.104399674,0.102676276,0.102503937,0.102486721,,22.3,114.2,Hong Kong,780415,0.103074215,0.104348722,0.108379066,0.121124135,0.161427581,0.288878267,,Poland,0.035109545,0.002557662,,Portugal,0.999986687,1.33128E-05,Poland,3785053486,1422.596789,
36,138,Japan,1440826,0.103034162,0.104222062,0.107978534,0.119857541,0.157422259,0.276212329,0.12333807,0.104570115,0.10269332,0.102505621,0.102486721,,,46.2276,2.2137,France,6175223,0.121462037,0.104382502,0.10267448,0.10250374,0.102484787,,18.7357,-70.1627,Dominican Republic,363807,0.103069028,0.104332319,0.108327195,0.120960104,0.160908871,0.287237961,,Greece,0.034796574,0.007093895,,Honduras,0.999986022,1.39775E-05,Greece,3752529838,4030.635636,
51.9194,19.1451,Poland,2660665,0.102920411,0.10386235,0.106841024,0.116260418,0.146047156,0.240241094,0.124954969,0.104731806,0.102709498,0.102507346,0.102487523,,,32,53,Iran,3184857,0.121332786,0.104369586,0.102673292,0.10250374,0.102484787,,36,128,S. Korea,1924170,0.103055897,0.104290796,0.108195889,0.120544877,0.159595806,0.283085687,,Lithuania,0.03476152,0.012347535,,Nigeria,0.999985558,1.44424E-05,Lithuania,3748885686,5906.07291,
31.7917,-7.0926,Morocco,1890964,0.103008021,0.104139398,0.107717126,0.119030897,0.15480818,0.267945883,0.125237727,0.104760081,0.102712319,0.102507511,0.102486721,,,-38.4161,-63.6167,Argentina,1222359,0.119687164,0.104205025,0.10265681,0.102501981,0.102486155,,13,122,Philippines,2515352,0.10305464,0.104286821,0.108183317,0.120505122,0.15947009,0.282688137,,USA,0.03407656,0.000258976,,Bahrain,0.999984898,1.51024E-05,USA,3677623500,45.34543536,
15.2,-86.2419,Honduras,141114,0.102918927,0.103857659,0.106826191,0.116213512,0.145898826,0.239772034,0.107642002,0.103000509,0.102536359,0.102489951,0.102484787,,,15,101,Thailand,749213,0.119388996,0.104175208,0.102653828,0.102501706,0.102486462,,9.082,8.6753,Nigeria,398304,0.103053851,0.104284326,0.108175428,0.120480173,0.159391195,0.282438649,,Malawi,0.033506644,0.008360003,,Morocco,0.999984012,1.59876E-05,Malawi,3618250353,81683.45569,
39.3999,-8.2245,Portugal,1976482,0.102931092,0.103896126,0.106947833,0.116598179,0.147115251,0.243618706,0.122326439,0.104468952,0.102683196,0.102504609,0.102486721,,,49.8175,15.473,Czechia,891140,0.119354258,0.104171734,0.102653482,0.102501651,0.102486155,,49.8175,15.473,Czechia,891140,0.103049891,0.104271803,0.108135828,0.120354949,0.158995202,0.281186409,,Portugal,0.033389656,0.002573885,,Ghana,0.999983372,1.66276E-05,Portugal,3606053783,1824.480963,
9.082,8.6753,Nigeria,398304,0.103053851,0.104284326,0.108175428,0.120480173,0.159391195,0.282438649,0.113841915,0.1036205,0.102598358,0.102496129,0.102485972,,,33,44,Iraq,1567133,0.119233255,0.104159633,0.102652269,0.10250154,0.102486721,,3.9193,-56.0278,Suriname,8309,0.103046165,0.10426002,0.108098567,0.120237119,0.158622588,0.280008102,,Tunisia,0.032843561,0.012428122,,Kyrgyzstan,0.999983054,1.69464E-05,Tunisia,3549079924,25436.50995,
26.0275,50.55,Bahrain,1095373,0.103759502,0.10651579,0.115231939,0.14279482,0.229956304,0.505585118,0.144673295,0.106703639,0.102906672,0.102526975,0.102489003,,,22.3,114.2,Hong Kong,780415,0.118950992,0.104131407,0.10264945,0.102501258,0.102486462,,30.3753,69.3451,Pakistan,2581695,0.103035313,0.104225704,0.10799005,0.119893956,0.157537413,0.276576477,,Antigua and Barbuda,0.032258065,0.066220652,,Switzerland,0.999981493,1.85065E-05,Antigua and Barbuda,3487921333,1860224.711,
