Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,,Lat,Long,Country,Tests,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,,Country,recovery rates,error,,Country,x,x1,Country,n,n1,,
29.5,47.75,Kuwait,611639,0.103453377,0.105547737,0.112170686,0.13311429,0.19934378,0.408779815,0.12643931,0.104880239,0.102724332,0.102508744,0.102487156,,,-40.9006,174.886,New Zealand,750808,0.121304345,0.104366743,0.102672982,0.102503617,0.102486721,,30.3753,69.3451,Pakistan,2581695,0.103032326,0.104216257,0.107960177,0.119799489,0.157238682,0.275631807,,Pakistan,0.978075807,0.000914317,,Poland,0.999984894,1.51063E-05,Afghanistan,4905179521,47911.0335,,
50.8333,4,Belgium,2234172,0.102652889,0.103016373,0.104165809,0.107800645,0.119295003,0.155643372,0.110430479,0.103279365,0.102564264,0.102492525,0.102484787,,,32,53,Iran,3184857,0.121164196,0.104352726,0.102671577,0.102503341,0.102484787,,36,138,Japan,1440826,0.103029294,0.104206669,0.107929857,0.11970361,0.156935487,0.274673018,,Japan,0.977825288,0.002069442,,Morocco,0.999984309,1.56909E-05,Guadeloupe,4847778283,163803.9629,,
15.7835,-90.2308,Guatemala,240745,0.102881372,0.103738899,0.106450636,0.115025904,0.14214328,0.227895953,0.108638183,0.103100126,0.102546325,0.102490904,0.102484787,,,39.3999,-8.2245,Portugal,1976482,0.120313838,0.104267692,0.10266307,0.102502516,0.102484787,,6,12,Cameroon,149000,0.103022466,0.104185078,0.107861581,0.119487701,0.156252722,0.272513928,,Cameroon,0.977245045,0.003711515,,Portugal,0.999983587,1.64126E-05,Lithuania,4782773149,7534.880842,,
36,138,Japan,1440826,0.103029294,0.104206669,0.107929857,0.11970361,0.156935487,0.274673018,0.1231533,0.104551639,0.102691468,0.102505441,0.102486721,,,-38.4161,-63.6167,Argentina,1222359,0.119400825,0.104176391,0.102653947,0.102501762,0.102486721,,21,78,India,40406609,0.103020461,0.104178737,0.107841528,0.119424291,0.156052202,0.271879826,,India,0.977070266,0.000300279,,Ghana,0.99998332,1.66801E-05,Finland,4746566894,7462.932545,,
51.9194,19.1451,Poland,2660665,0.102881283,0.103738617,0.106449746,0.115023088,0.142134376,0.227867798,0.122936693,0.104529977,0.102689307,0.102505259,0.102487523,,,15,101,Thailand,749213,0.119186429,0.104154951,0.102651805,0.102501484,0.102486462,,44.0165,21.0059,Serbia,920852,0.103016824,0.104167235,0.107805154,0.119309266,0.15568846,0.270729574,,Serbia,0.976747994,0.002883937,,Nigeria,0.999983122,1.68779E-05,Poland,4568962713,1717.225849,,
31.7917,-7.0926,Morocco,1890964,0.103013082,0.104155404,0.107767741,0.119190955,0.155314329,0.269546468,0.125457827,0.104782091,0.102714521,0.102507757,0.102486721,,,33,44,Iraq,1567133,0.118845373,0.104120845,0.102648392,0.102501201,0.102486721,,49.8175,15.473,Czechia,891140,0.103014755,0.104160693,0.107784466,0.119243843,0.155481577,0.270075351,,Czechia,0.97656163,0.003775909,,Romania,0.999982571,1.7429E-05,Guatemala,4566911433,18969.91187,,
15.2,-86.2419,Honduras,141114,0.102707224,0.103188193,0.104709153,0.109518849,0.124728442,0.172825403,0.105127142,0.102749023,0.102511205,0.102487156,0.102484787,,,44.0165,21.0059,Serbia,920852,0.118629731,0.104099281,0.10264624,0.102500914,0.102486721,,31.7917,-7.0926,Morocco,1890964,0.103013082,0.104155404,0.107767741,0.119190955,0.155314329,0.269546468,,Morocco,0.976409314,0.002373827,,Kyrgyzstan,0.999981759,1.82414E-05,Ukraine,4547094723,2997.994822,,
39.3999,-8.2245,Portugal,1976482,0.102885822,0.10375297,0.106495133,0.115166613,0.142588243,0.229303049,0.120313838,0.104267692,0.10266307,0.102502516,0.102484787,,,22.3,114.2,Hong Kong,780415,0.11861646,0.104097954,0.102646106,0.102500914,0.102486462,,9.082,8.6753,Nigeria,398304,0.10300988,0.104145275,0.107735713,0.119089671,0.154994042,0.268533632,,Nigeria,0.976113408,0.002481636,,Uzbekistan,0.999981543,1.84566E-05,Portugal,4466130476,2259.636301,,
9.082,8.6753,Nigeria,398304,0.10300988,0.104145275,0.107735713,0.119089671,0.154994042,0.268533632,0.11296435,0.103532743,0.102589582,0.102495249,0.102485754,,,49.8175,15.473,Czechia,891140,0.118305372,0.104066846,0.102642991,0.102500621,0.102486155,,-22.9576,18.4904,Namibia,58610,0.103009645,0.104144532,0.107733363,0.11908224,0.154970542,0.268459318,,Namibia,0.976091476,0.009545037,,Switzerland,0.999980897,1.91027E-05,Colombia,4441911039,1654.12433,,
26.0275,50.55,Bahrain,1095373,0.103771229,0.106552874,0.115349207,0.143165656,0.23112899,0.509293475,0.145061412,0.10674245,0.102910554,0.102527361,0.102489058,,,47.5162,14.5501,Austria,1160743,0.118231055,0.104059414,0.10264225,0.102500502,0.102486721,,21.0079,10.9408,Mauritania,69937,0.103007956,0.104139192,0.107716476,0.11902884,0.154801677,0.267925319,,Mauritania,0.975932978,0.006334096,,Venezuela,0.999979922,2.00776E-05,Germany,4421249975,394.4694931,,
