Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,,Lat,Long,Country,Tests,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,,Country,discharge rate,error,,Country,x,x1,Country,n,n1,,,,
29.5,47.75,Kuwait,611639,0.102754801,0.103338645,0.105184924,0.111023371,0.129486161,0.187870626,0.109162588,0.103152566,0.102551546,0.102491488,0.102484787,,,36,128,S. Korea,1924170,0.110679855,0.103304292,0.102566675,0.102492525,0.102484787,,-22.3285,24.6849,Botswana,109547,0.102717848,0.103221791,0.104815398,0.109854826,0.125790895,0.176185175,,Iran,0.860229253,0.001900797,,Japan,0.999988892,1.11078E-05,Poland,24006532953,9022.756699,,,,
50.8333,4,Belgium,2234172,0.102678756,0.103098171,0.104424477,0.108618626,0.121881688,0.163823174,0.111653126,0.103401617,0.102576504,0.102492525,0.102484787,,,36,138,Japan,1440826,0.110647881,0.103301098,0.102566401,0.102493438,0.102484787,,-30.5595,22.9375,South Africa,3652970,0.102717321,0.103220125,0.104810129,0.109838163,0.125738205,0.176018554,,Austria,0.847359644,0.007317964,,Poland,0.999988865,1.11353E-05,Moldova,23875352932,114826.7545,,,,
15.7835,-90.2308,Guatemala,240745,0.102698303,0.103159983,0.104619943,0.109236744,0.123836348,0.170004359,0.105797687,0.102816078,0.102517899,0.102488138,0.102484787,,,39.3999,-8.2245,Portugal,1976482,0.110486303,0.10328494,0.102564827,0.102492525,0.102484787,,32,53,Iran,3184857,0.102716019,0.103216007,0.104797107,0.109796984,0.125607982,0.175606749,,Ecuador,0.845207518,0.003598173,,Morocco,0.999987835,1.21654E-05,Mexico,23838081535,17865.19352,,,,
36,138,Japan,1440826,0.102699842,0.10316485,0.104635334,0.109285414,0.123990261,0.170491064,0.110647881,0.103301098,0.102566401,0.102493438,0.102484787,,,31.7917,-7.0926,Morocco,1890964,0.11046309,0.103282617,0.102564639,0.102492525,0.102484787,,47.5162,14.5501,Austria,1160743,0.10270773,0.103189796,0.10471422,0.109534875,0.124779122,0.172985664,,Gabon,0.845032334,0.013115896,,Honduras,0.999987599,1.24006E-05,Bulgaria,23632484786,58610.42374,,,,
51.9194,19.1451,Poland,2660665,0.102657762,0.103031781,0.104214535,0.10795473,0.119782265,0.157184215,0.111407109,0.103377011,0.102574023,0.102492525,0.102484787,,,-40.9006,174.886,New Zealand,750808,0.110087597,0.103245067,0.102560823,0.102492525,0.102484787,,-1.8312,-78.1834,Ecuador,326552,0.102706457,0.103185768,0.104701485,0.109494601,0.124651765,0.172582924,,Switzerland,0.843679593,0.00594288,,Portugal,0.99998733,1.26699E-05,Turks and Caicos,23553989598,9950988.423,,,,
31.7917,-7.0926,Morocco,1890964,0.102668259,0.103064975,0.104319503,0.108286669,0.12083195,0.160503616,0.11046309,0.103282617,0.102564639,0.102492525,0.102484787,,,47.5162,14.5501,Austria,1160743,0.110080395,0.103244346,0.1025607,0.102492525,0.102484787,,-0.8037,11.6094,Gabon,116252,0.102706354,0.103185445,0.104700461,0.109491364,0.124641528,0.172550556,,Latvia,0.842143374,0.032791317,,Nigeria,0.999986522,1.34785E-05,Peru,23527976251,7453.395246,,,,
15.2,-86.2419,Honduras,141114,0.102697578,0.103157693,0.104612701,0.109213844,0.123763932,0.169775347,0.105012566,0.102737565,0.102510046,0.102487156,0.102484787,,,22.3,114.2,Hong Kong,780415,0.109808437,0.103217152,0.10255804,0.102492025,0.102484787,,46.8182,8.2275,Switzerland,1000884,0.10270557,0.103182966,0.104692621,0.109466572,0.124563131,0.172302642,,Cuba,0.83388535,0.019855987,,Bahrain,0.999985952,1.40484E-05,Guadeloupe,23165711485,782757.6106,,,,
39.3999,-8.2245,Portugal,1976482,0.102664768,0.103053936,0.104284594,0.108176275,0.120482853,0.159399663,0.110486303,0.10328494,0.102564827,0.102492525,0.102484787,,,33,44,Iraq,1567133,0.109749563,0.103211268,0.102557373,0.102492525,0.102484787,,56.8796,24.6032,Latvia,248932,0.102704694,0.103180193,0.104683855,0.109438851,0.124475468,0.172025425,,Japan,0.833160201,0.004835456,,Ethiopia,0.999985492,1.45082E-05,Dominican Republic,23119492176,63548.78322,,,,
9.082,8.6753,Nigeria,398304,0.102675012,0.103086333,0.104387042,0.108500244,0.121507333,0.16263937,0.106281222,0.102864429,0.102522694,0.102488656,0.102484787,,,46.8182,8.2275,Switzerland,1000884,0.109469658,0.103183275,0.102554641,0.102491488,0.102484787,,14.6415,-61.0242,Martinique,12227,0.1027011,0.103168827,0.104647912,0.10932519,0.124116039,0.170888811,,Guatemala,0.830127988,0.00462428,,Ghana,0.999983777,1.62234E-05,Croatia,22896586369,138167.6264,,,,
26.0275,50.55,Bahrain,1095373,0.102820749,0.103547192,0.105844408,0.113108842,0.136080998,0.208725334,0.11360393,0.103596701,0.102595979,0.102495899,0.102484787,,,45.9432,24.9668,Romania,1780963,0.109309026,0.103167222,0.102553125,0.102492525,0.102484787,,22,-80,Cuba,388194,0.102700217,0.103166036,0.104639086,0.109297278,0.124027777,0.170609701,,Russia,0.81634573,0.001303849,,Venezuela,0.999983692,1.63075E-05,Panama,22865600610,70011.66762,,,,
